Horodateur;Adresse e-mail;Quel est votre temps sur 10kms ?;Quel est votre temps sur semi marathon ?;Quel est votre temps sur marathon ?;Avez vous fait un test VMA (Vitesse Maximale Aérobie) ou de VC (Vitesse Critique) ? Sinon avez vous une idée de votre VMA ou de votre VC ?;Nombre de jours de CAP par semaine;Possibilité de faire du bi-quotidien ? voire Tri ou quadri ?;Objectif principal;Quel format de compétition ?;Prénom/Nom;Sexe;Liste courses préparatoires avec les dates;Date de naissance;Quelle est la compétition objectif ?;Combien d'entrainement de vélo par semaine ?;Matériel complémentaire;Combien d'entrainement Natation par semaine ?;Téléphone;N° de téléphone à 10 chiffres;N° de téléphone avec le pays;Adresse;Compléments à rajouter pour améliorer le suivi, contraintes pro/perso, santé, emploi du temps, etc...;Formules de base (coaching);Pouvez vous lier votre compte montre avec ICU ?;Quels jours ? (CAP);Si oui quel(s) jour(s) ? (Bi-quotidien) et Quel(s) discipline(s);Quels jours ? (Natation);Quels jours ? (Vélo);Taille/Poids;Pseudo utilisé si connection ICU Interval;Métier et ses contraintes;Temps actuel sur 400m nage libre (laisser vide sinon);FTP vélo en watt (laisser vide sinon);Connais tu ta Fréquence Cardiaque Maximum (en CAP si possible);Connais tu ta Fréquence Cardiaque Maximum en natation ?;Connais tu ta Fréquence Cardiaque Maximum en vélo ?;Si vous avez fait le test de Vitesse Critique (VC) 3'/6'/12' Veuillez saisir les 3 distances ci dessous avec la syntaxe suivante : 3=X/6=Y/12=Z
15/08/2026 10:30:00;germain.noyer@gmail.com;0:34:58;1:17:00;2:45:00;VMA=20.3;5;Oui 1 fois par semaine;15/11/2027;10km;Germain Noyer;M;10km Billiers 15/09, 5km Redon 20/10;23/05/1986;Semi Auray Vannes obj 1h15;2;Vélo route;1;France;0685918019;;11 rue George Sand 35600 Redon;Entraînements longs à mettre les mardis et dimanche;Club;Oui;Lundi Mardi Jeudi Dimanche;Mardi CAP;Non Pratiquant;Non Pratiquant;180cm/65kg;Fsa28;Dispo 45 min les midis (lundi, jeudi) et mardi midi si bi quotidien avec entraînement le soir;;245;178;170;175;
15/08/2026 11:15:00;guia.robin@aol.com;0:52:00;1:57:00;;VMA=18.2;4;Non;15/12/2026;Trail;Guia ROBIN;F;13/06 SN trail 28km, 20/06 trail des maquisards 23km;10/05/1975;Trail de la côte d'Émeraude;1;Running;1;France;0689999379;;13 rue du Clos Sordia 56910 Carentoir;Temps du semi assez vieux. Besoin de me détendre.;Tu me diras;Oui;Mercredi Vendredi Samedi Dimanche;;Non Pratiquant;Non Pratiquant;156cm/57.5kg;GuiaROBIN;Aucun entraînement possible L M J. Semaine chargée du 5 au 9 juillet.;;;185;178;182;
15/08/2026 09:12:00;lucas.lefer@gmail.com;0:45:00;1:45:00;4:10:00;;3;Non;15/03/2027;Olympique;Lucas LEFER;M;Sprint Bordeaux 10/09, Sprint La Rochelle 15/11;12/12/2000;Olympique de Paris 2027;0;Home-trainer Décathlon;1;France;0698765432;;8 rue des Sports Lyon;Étudiant emploi du temps flexible;Formule Découverte;Non;Lundi Mercredi Vendredi;;Jeudi;Mercredi;180cm/75kg;LLefer00;Étudiant stage 2 jours/semaine;7:15;195;196;188;192;3=450/6=820/12=1600
15/08/2026 14:30:00;emma.dubois@email.com;0:45:00;1:40:00;3:55:00;VC=13.8;4;Oui 3 fois par semaine;15/12/2026;10km;Emma DUBOIS;F;5km Bruxelles 15/09, 10km Namur 20/10;10/09/1995;10km de Namur 2026;1;Home-trainer;1;France;0475123456;+32475123456;10 rue de la Loi Bruxelles;Employée de bureau 8h-17h;Formule Expert;Non;Mardi Jeudi Samedi Dimanche;CAP=Jeudi Nat=Lundi;Mercredi;Lundi;165cm/62kg;EDubois95;Fonctionnaire administrative;8:00;220;173;165;170;
15/08/2026 08:00:00;pierre.durand@email.com;0:48:00;1:55:00;4:45:00;VC=14.2;3;Oui il m'est possible de faire du tri voire du quadri;15/12/2027;Marathon;Pierre DURAND;M;Marathon Paris 20/10, Semi Lyon 15/11;10/06/1978;Marathon de Lyon 2027;2;Vélo de route;0;France;0678123456;;5 rue des Alpes Lyon;Infirmier 12h;Formule Expert;Oui;Lundi Jeudi Samedi;CAP=Jeudi Velo=Lundi;Vendredi;Mercredi;178cm/80kg;PDurand78;Infirmier horaires décalées;9:30;210;165;158;160;
15/08/2026 16:30:00;claire.lefevre@email.com;0:52:30;1:55:00;;VMA=15.2;4;Autre a voir avec l'entraineur;15/11/2026;Sprint triathlon;Claire LEFEVRE;F;Triathlon Mâcon 15/09, Sprint de Chambéry 15/10;22/08/1988;Sprint de Chambéry 2026;1;Palmes;2;France;0623344556;;22 rue du Lac Annecy;Enseignante primaire;Formule Performance;Oui;Mardi Jeudi;;Jeudi;Mercredi;172cm/65kg;CLefevre88;Enseignante disponible 16h;8:30;160;182;175;178;
15/08/2026 13:15:00;thomas.robert@email.com;0:44:10;1:38:00;3:35:00;VMA=18.5;5;Non;15/12/2026;10km;Thomas ROBERT;M;10km Lyon 20/09, 5km Villeurbanne 20/10;15/09/1992;10km de Villeurbanne 2026;2;Home-trainer;1;France;0611223344;;30 rue de la République Lyon;Boulanger;Formule Expert;Oui;Lundi Mercredi Vendredi;Lundi;Mardi;Dimanche;176cm/70kg;TRobert92;Boulanger horaires matinales;7:30;230;192;185;188;
15/08/2026 12:00:00;nina.kowalski@email.com;0:41:50;1:32:00;3:20:00;VC=15.1;4;Oui 1 fois par semaine;15/11/2026;Ironman;Nina KOWALSKI;F;70.3 Vichy 15/09, 70.3 Nice 15/10;18/04/1985;Ironman Nice 2026;4;Vélo de route;3;France;0655443322;;15 avenue des Lilas Vichy;Comptable;Formule Expert;Oui;Lundi Mercredi Vendredi Samedi;Nat=Lundi CAP=Mercredi;Mardi Jeudi Samedi;Lundi Jeudi;170cm/60kg;NKowalski85;Comptable horaires bureau;6:30;285;188;180;184;
15/08/2026 15:45:00;maxime.girard@email.com;0:36:45;1:22:00;2:58:00;;6;Oui 2 fois par semaine;15/11/2026;Semi-marathon;Maxime GIRARD;M;Semi de Paris 20/09, 10km Lyon 20/10;03/05/1998;Semi-marathon de Lyon 2026;2;Roulé dérouleur;2;France;0677889900;;8 rue du Rhône Lyon;Étudiant STAPS;Formule Expert;Oui;Lundi Mardi Mercredi Jeudi Samedi;CAP=Jeudi Velo=Mardi;Vendredi;Dimanche;182cm/68kg;MGirard98;Étudiant disponible 10h;6:00;310;200;192;195;3=580/6=1050/12=2050
15/08/2026 17:00:00;isabelle.mercier@email.com;0:50:00;1:50:00;4:20:00;VMA=14.0;3;Oui 3 fois par semaine;15/12/2026;Olympique;Isabelle MERCIER;F;Triathlon Annecy 15/09, Sprint Lyon 15/10;22/09/1995;Olympique de Lyon 2026;1;Corde à sauter;2;France;0611122334;;10 rue du Lac Le Bourget;Chirurgienne;Formule Expert;Non;Mardi Jeudi;CAP=Lundi Nat=Mardi;Mercredi;Jeudi;168cm/61kg;IMercier95;Chirurgienne gardes;7:45;205;175;168;172;
