Horodateur,Adresse e-mail,Quel est votre temps sur 10kms ?,Quel est votre temps sur semi marathon ?,Quel est votre temps sur marathon ?,Avez vous fait un test VMA ou de VC ? Sinon avez vous une idée de votre VMA ou de votre VC ?,Nombre de jours de CAP par semaine,Possibilité de faire du bi-quotidien ? voire Tri ou quadri ?,Objectif principal,Quel format de compétition ?,Prénom/Nom,Sexe,Liste courses préparatoires avec les dates,Date de naissance,Quelle est la compétition objectif ?,Combien d'entrainement de vélo par semaine ?,Matériel complémentaire,Combien d'entrainement Natation par semaine ?,Téléphone,N° de téléphone à 10 chiffres,N° de téléphone avec le pays,Adresse,"Compléments à rajouter pour améliorer le suivi, contraintes pro/perso, santé, emploi du temps, etc...",Formules de base,Pouvez vous lier votre compte montre avec ICU ?,Quels jours ? (CAP),Si oui quel(s) jour(s) ? (Bi-quotidien) et Quel(s) discipline(s),Quels jours ? (Natation),Quels jours ? (Vélo),Taille/Poids,Pseudo utilisé si connection ICU Interval,Métier et ses contraintes,Temps actuel sur 400m nage libre,FTP vélo en watt,Connais tu ta Fréquence Cardiaque Maximum (en CAP si possible),Connais tu ta Fréquence Cardiaque Maximum en natation ?,Connais tu ta Fréquence Cardiaque Maximum en vélo ?
2026-08-04 10:30:00,jean.dupont@email.com,42:30,1:35:00,3:45:00,VMA=18.5,4,Non,Améliorer chrono,Semi-marathon,Jean DUPONT,M,10km Paris 15/09,1984-03-15,Semi-marathon de Lyon 2026,2,Roulé dérouleur Garmin,1,France,612345678,,12 rue des Lilas Paris,Employé de bureau 9h-18h,Formule Expert,Oui,Mardi Jeudi Samedi,,Vendredi,Mercredi Samedi,175cm-72kg,JDupont87,Commercial déplacements fréquents,6:45,245,178,170,175
2026-08-04 11:15:00,sophie.martin@email.com,38:15,1:28:00,3:12:00,19.2,5,Oui 1 fois par semaine 2 séances la même journée dans le même sport,Préparation Ironman,Ironman,Sophie MARTIN,F,Sprint Nice 15/05,1990-07-22,Ironman France 2026,3,Capteur puissance,3,France,623456789,,45 avenue des Alpes Nice,Professeur jusqu'à 17h,Formule Performance,Oui,Lundi Mercredi Vendredi Samedi,CAP=Lundi,Mardi Jeudi Samedi,Lundi Jeudi,168cm-58kg,SMartin90,Enseignante vacances scolaires,6:45,275,185,178,182
2026-08-04 09:45:00,lucas.bernard@email.com,48:00,1:45:00,4:10:00,VMA=16.0,3,Oui 2 fois par semaine 2 séances la même journée dans le même sport,Découvrir le triathlon,Olympique,Lucas BERNARD,M,Sprint Bordeaux 10/05,2000-12-01,Olympique de Paris 2026,0,Corde à sauter,1,France,698765432,,8 rue des Sports Lyon,Étudiant flexible,Formule Découverte,Non,Lundi Mercredi Vendredi,Velo=Dimanche CAP=Mardi,Jeudi,Mercredi,180cm-75kg,LBernard00,Étudiant stage 2j/semaine,7:15,195,196,188,192
2026-08-04 14:00:00,emma.dubois@email.com,45:00,1:40:00,3:55:00,VC=13.8,4,Oui 3 fois par semaine 2 séances la même journée dans le même sport,Améliorer chrono,10km,Emma DUBOIS,F,5km Bruxelles 10/06,1995-09-10,10km de Namur 2026,1,Home-trainer,1,,475123456,32475123456,10 rue de la Loi Bruxelles,Employée 8h-17h,Formule Expert,Non,Mardi Jeudi Samedi,CAP=Jeudi Nat=Lundi,Mercredi,Lundi,165cm-62kg,EDubois95,Fonctionnaire administrative,8:00,220,173,165,170
2026-08-04 08:00:00,pierre.durand@email.com,,,4:45:00,14.2,3,"Oui, il m'est possible de faire du tri voire du quadri (A/R travail p.e.) certains jours je le défini oralement.",Préparation marathon,Marathon,Pierre DURAND,M,Marathon Paris 20/10,1978-06-10,Marathon de Lyon 2026,2,Vélo de route,0,France,678123456,,5 rue des Alpes Lyon,Infirmier 12h,Formule Expert,Oui,Lundi Jeudi Samedi,CAP=Jeudi Velo=Lundi,Vendredi,Mercredi,178cm-80kg,PDurand78,Infirmier horaires décalées,9:30,210,165,158,160
2026-08-04 16:30:00,claire.lefevre@email.com,52:30,1:55:00,,VMA=15.2,4,Autre : a voir avec l’entraineur,Découvrir la compétition,Sprint triathlon,Claire LEFEVRE,F,Triathlon Mâcon 15/08,1988-11-22,Sprint de Chambéry 2026,1,Palmes,2,France,623344556,,22 rue du Lac Annecy,Enseignante primaire,Formule Performance,Oui,Mardi Jeudi,,Jeudi,Mercredi,172cm-65kg,CLefevre88,Enseignante disponible 16h,8:30,160,182,175,178
2026-08-04 13:15:00,thomas.robert@email.com,44:10,1:38:00,3:35:00,18.5,5,Non,Améliorer chrono,10km,Thomas ROBERT,M,10km Lyon 20/09,1992-09-15,10km de Villeurbanne 2026,2,Home-trainer,1,France,611223344,,30 rue de la République Lyon,Boulanger,Formule Expert,Oui,Lundi Mercredi Vendredi,Lundi,Mardi,Dimanche,176cm-70kg,TRobert92,Boulanger horaires matinales,7:30,230,192,185,188
2026-08-04 12:00:00,nina.kowalski@email.com,41:50,1:32:00,3:20:00,VC=15.1,4,Oui 1 fois par semaine 2 séances la même journée dans le même sport,Préparation Ironman,Ironman,Nina KOWALSKI,F,70.3 Vichy 15/08,1985-04-18,Ironman Nice 2026,4,Vélo de route,3,France,655443322,,15 avenue des Lilas Vichy,Comptable,Formule Expert,Oui,Lundi Mercredi Vendredi Samedi,Nat=Lundi CAP=Mercredi,Mardi Jeudi Samedi,Lundi Jeudi,170cm-60kg,NKowalski85,Comptable horaires bureau,6:30,285,188,180,184
2026-08-04 15:45:00,maxime.girard@email.com,36:45,1:22:00,2:58:00,VMA=20.1,6,Oui 2 fois par semaine 2 séances la même journée dans le même sport,Améliorer chrono,Semi-marathon,Maxime GIRARD,M,Semi de Paris 20/09,1998-05-03,Semi-marathon de Lyon 2026,2,Roulé dérouleur,2,France,677889900,,8 rue du Rhône Lyon,Étudiant STAPS,Formule Expert,Oui,Lundi Mardi Mercredi Jeudi Samedi,CAP=Jeudi Velo=Mardi,Vendredi,Dimanche,182cm-68kg,MGirard98,Étudiant disponible 10h,6:00,310,200,192,195
2026-08-04 17:00:00,isabelle.mercier@email.com,50:00,1:50:00,4:20:00,14.0,3,Oui 3 fois par semaine 2 séances la même journée dans le même sport,Découvrir le triathlon,Olympique,Isabelle MERCIER,F,Triathlon Annecy 15/07,1995-09-22,Olympique de Lyon 2026,1,Corde à sauter,2,France,611122334,,10 rue du Lac Le Bourget,Chirurgienne,Formule Expert,Non,Mardi Jeudi,CAP=Lundi Nat=Mardi,Mercredi,Jeudi,168cm-61kg,IMercier95,Chirurgienne gardes,7:45,205,175,168,172
