distance;pourcentage;vitesse_effort;temps_effort;distance_recup;vitesse_recup;temps_recup;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;120;17.8;00:40;50.0;7.4;00:24;01:04;14;15:00;15:08
300;118;17.5;01:01;75.0;7.4;00:36;01:38;10;15:00;16:23
400;114;16.9;01:25;100.0;7.4;00:48;02:13;7;15:00;15:37
500;112;16.6;01:48;125.0;7.4;01:00;02:49;6;15:56;16:56
600;110;16.3;02:12;150.0;7.4;01:12;03:25;5;16:52;17:08
700;108;16.0;02:37;175.0;7.4;01:25;04:02;5;17:48;20:13
800;105;15.5;03:05;200.0;7.4;01:37;04:42;4;18:45;18:50
1000;102;15.1;03:58;250.0;7.4;02:01;06:00;4;20:37;24:00
1600;100;14.8;06:29;400.0;7.4;03:14;09:43;3;26:15;29:11
2000;98;14.5;08:16;500.0;7.4;04:03;12:19;3;30:00;36:58
2400;97;14.4;10:01;600.0;7.4;04:51;14:53;3;30:00;44:41
2800;96;14.2;11:49;700.0;7.4;05:40;17:30;2;30:00;35:00
