distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;120.0;17.8;00:40;40.54;50.0;7.4;00:24;24.32;01:04;14;15:00;15:08
300;118.0;17.5;01:01;61.84;75.0;7.4;00:36;36.49;01:38;10;15:00;16:23
400;114.0;16.9;01:25;85.35;100.0;7.4;00:48;48.65;02:13;7;15:00;15:37
500;112.0;16.6;01:48;108.59;125.0;7.4;01:00;60.81;02:49;6;15:56;16:56
600;110.0;16.3;02:12;132.68;150.0;7.4;01:12;72.97;03:25;5;16:52;17:08
700;108.0;16.0;02:37;157.66;175.0;7.4;01:25;85.14;04:02;5;17:48;20:13
800;105.0;15.5;03:05;185.33;200.0;7.4;01:37;97.3;04:42;4;18:45;18:50
1000;102.0;15.1;03:58;238.47;250.0;7.4;02:01;121.62;06:00;4;20:37;24:00
1600;100.0;14.8;06:29;389.19;400.0;7.4;03:14;194.59;09:43;3;26:15;29:11
2000;98.0;14.5;08:16;496.41;500.0;7.4;04:03;243.24;12:19;3;30:00;36:58
2400;97.0;14.4;10:01;601.84;600.0;7.4;04:51;291.89;14:53;3;30:00;44:41
2800;96.0;14.2;11:49;709.46;700.0;7.4;05:40;340.54;17:30;2;30:00;35:00
