distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
100;105;21.3;00:16;16.89;25.0;10.2;00:08;8.87;00:25;35;15:00;15:01
200;100;20.3;00:35;35.47;50.0;10.2;00:17;17.73;00:53;17;15:00;15:04
300;99;20.1;00:53;53.74;75.0;10.2;00:26;26.6;01:20;12;15:00;16:04
400;98;19.9;01:12;72.38;100.0;10.2;00:35;35.47;01:47;9;15:00;16:10
500;97;19.7;01:31;91.41;125.0;10.2;00:44;44.33;02:15;8;15:56;18:05
600;96;19.5;01:50;110.84;150.0;10.2;00:53;53.2;02:44;7;16:52;19:08
700;95;19.3;02:10;130.67;175.0;10.2;01:02;62.07;03:12;6;17:48;19:16
800;94;19.1;02:30;150.93;200.0;10.2;01:10;70.94;03:41;6;18:45;22:11
900;93;18.9;02:51;171.62;225.0;10.2;01:19;79.8;04:11;5;19:41;20:57
1000;92;18.7;03:12;192.76;250.0;10.2;01:28;88.67;04:41;5;20:37;23:27
2000;89;18.1;06:38;398.52;500.0;10.2;02:57;177.34;09:35;4;30:00;38:23
3000;85;17.3;10:25;625.91;750.0;10.2;04:26;266.01;14:51;3;30:00;44:35
