distance;pourcentage;vitesse_effort;temps_effort;distance_recup;vitesse_recup;temps_recup;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;102;18.6;00:38;50.0;9.1;00:19;00:58;16;15:00;15:37
300;97;17.7;01:01;75.0;9.1;00:29;01:30;10;15:00;15:08
400;96;17.5;01:22;100.0;9.1;00:39;02:01;8;15:00;16:15
500;95;17.3;01:44;125.0;9.1;00:49;02:33;7;15:56;17:54
600;94;17.1;02:06;150.0;9.1;00:59;03:05;6;16:52;18:33
700;93;16.9;02:28;175.0;9.1;01:09;03:38;5;17:48;18:10
800;92;16.7;02:52;200.0;9.1;01:19;04:11;5;18:45;20:55
1000;90;16.4;03:39;250.0;9.1;01:38;05:18;4;20:37;21:14
2000;87;15.8;07:34;500.0;9.1;03:17;10:52;3;30:00;32:37
3000;82;14.9;12:03;750.0;9.1;04:56;17:00;2;30:00;34:00
