distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
100;102;18.6;00:19;19.39;25.0;9.1;00:09;9.89;00:29;31;15:00;15:07
200;98;17.8;00:40;40.37;50.0;9.1;00:19;19.78;01:00;15;15:00;15:02
300;97;17.7;01:01;61.18;75.0;9.1;00:29;29.67;01:30;10;15:00;15:08
400;96;17.5;01:22;82.42;100.0;9.1;00:39;39.56;02:01;8;15:00;16:15
500;95;17.3;01:44;104.11;125.0;9.1;00:49;49.45;02:33;7;15:56;17:54
600;94;17.1;02:06;126.26;150.0;9.1;00:59;59.34;03:05;6;16:52;18:33
700;93;16.9;02:28;148.88;175.0;9.1;01:09;69.23;03:38;5;17:48;18:10
800;92;16.7;02:52;172.0;200.0;9.1;01:19;79.12;04:11;5;18:45;20:55
900;91;16.6;03:15;195.63;225.0;9.1;01:29;89.01;04:44;5;19:41;23:43
1000;90;16.4;03:39;219.78;250.0;9.1;01:38;98.9;05:18;4;20:37;21:14
2000;87;15.8;07:34;454.72;500.0;9.1;03:17;197.8;10:52;3;30:00;32:37
3000;82;14.9;12:03;723.67;750.0;9.1;04:56;296.7;17:00;2;30:00;34:00
