distance;pourcentage;vitesse_effort;temps_effort;distance_recup;vitesse_recup;temps_recup;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;102;14.3;00:50;50.0;7.0;00:25;01:16;12;15:00;15:13
300;97;13.6;01:19;75.0;7.0;00:38;01:58;8;15:00;15:44
400;96;13.4;01:47;100.0;7.0;00:51;02:38;6;15:00;15:51
500;95;13.3;02:15;125.0;7.0;01:04;03:19;5;15:56;16:38
600;94;13.2;02:44;150.0;7.0;01:17;04:01;5;16:52;20:06
700;93;13.0;03:13;175.0;7.0;01:30;04:43;4;17:48;18:54
800;92;12.9;03:43;200.0;7.0;01:42;05:26;4;18:45;21:45
1000;90;12.6;04:45;250.0;7.0;02:08;06:54;3;20:37;20:42
2000;87;12.2;09:51;500.0;7.0;04:17;14:08;3;30:00;42:24
3000;82;11.5;15:40;750.0;7.0;06:25;22:06;2;30:00;44:12
