distance;pourcentage;vitesse_effort;temps_effort;distance_recup;vitesse_recup;temps_recup;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;120;12.6;00:57;50.0;5.2;00:34;01:31;10;15:00;15:14
300;118;12.4;01:27;75.0;5.2;00:51;02:18;7;15:00;16:10
400;114;12.0;02:00;100.0;5.2;01:08;03:08;5;15:00;15:44
500;112;11.8;02:33;125.0;5.2;01:25;03:58;5;15:56;19:53
600;110;11.6;03:07;150.0;5.2;01:42;04:49;4;16:52;19:19
700;108;11.3;03:42;175.0;5.2;02:00;05:42;4;17:48;22:48
800;105;11.0;04:21;200.0;5.2;02:17;06:38;3;18:45;19:55
1000;102;10.7;05:36;250.0;5.2;02:51;08:27;3;20:37;25:22
1600;100;10.5;09:08;400.0;5.2;04:34;13:42;2;26:15;27:25
2000;98;10.3;11:39;500.0;5.2;05:42;17:22;2;30:00;34:45
2400;97;10.2;14:08;600.0;5.2;06:51;20:59;2;30:00;41:59
2800;96;10.1;16:40;700.0;5.2;08:00;24:40;2;30:00;49:20
