distance;pourcentage;vitesse_effort;temps_effort;distance_recup;vitesse_recup;temps_recup;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;105;19.4;00:37;50.0;9.2;00:19;00:56;16;15:00;15:04
300;99;18.3;00:58;75.0;9.2;00:29;01:28;11;15:00;16:09
400;98;18.1;01:19;100.0;9.2;00:38;01:58;8;15:00;15:46
500;97;17.9;01:40;125.0;9.2;00:48;02:28;7;15:56;17:22
600;96;17.8;02:01;150.0;9.2;00:58;03:00;6;16:52;18:00
700;95;17.6;02:23;175.0;9.2;01:08;03:31;6;17:48;21:08
800;94;17.4;02:45;200.0;9.2;01:17;04:03;5;18:45;20:17
1000;92;17.0;03:31;250.0;9.2;01:37;05:08;5;20:37;25:44
2000;89;16.5;07:17;500.0;9.2;03:14;10:31;3;30:00;31:35
3000;85;15.7;11:26;750.0;9.2;04:51;16:18;2;30:00;32:37
