distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;120.0;9.2;01:17;77.92;50.0;3.8;00:46;46.75;02:04;8;15:00;16:37
300;118.0;9.1;01:58;118.86;75.0;3.8;01:10;70.13;03:08;5;15:00;15:44
400;114.0;8.8;02:44;164.05;100.0;3.8;01:33;93.51;04:17;4;15:00;17:10
500;112.0;8.6;03:28;208.72;125.0;3.8;01:56;116.88;05:25;3;15:56;16:16
600;110.0;8.5;04:15;255.02;150.0;3.8;02:20;140.26;06:35;3;16:52;19:45
700;108.0;8.3;05:03;303.03;175.0;3.8;02:43;163.64;07:46;3;17:48;23:20
800;105.0;8.1;05:56;356.22;200.0;3.8;03:07;187.01;09:03;3;18:45;27:09
1000;102.0;7.9;07:38;458.37;250.0;3.8;03:53;233.77;11:32;2;20:37;23:04
1600;100.0;7.7;12:28;748.05;400.0;3.8;06:14;374.03;18:42;2;26:15;37:24
2000;98.0;7.5;15:54;954.15;500.0;3.8;07:47;467.53;23:41;2;30:00;47:23
2400;97.0;7.5;19:16;1156.78;600.0;3.8;09:21;561.04;28:37;2;30:00;57:15
2800;96.0;7.4;22:43;1363.64;700.0;3.8;10:54;654.55;33:38;1;30:00;33:38
