distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;120.0;11.8;01:01;61.22;50.0;4.9;00:36;36.73;01:37;10;15:00;16:19
300;118.0;11.6;01:33;93.39;75.0;4.9;00:55;55.1;02:28;7;15:00;17:19
400;114.0;11.2;02:08;128.89;100.0;4.9;01:13;73.47;03:22;5;15:00;16:51
500;112.0;11.0;02:43;163.99;125.0;4.9;01:31;91.84;04:15;4;15:56;17:03
600;110.0;10.8;03:20;200.37;150.0;4.9;01:50;110.2;05:10;4;16:52;20:42
700;108.0;10.6;03:58;238.1;175.0;4.9;02:08;128.57;06:06;3;17:48;18:20
800;105.0;10.3;04:39;279.88;200.0;4.9;02:26;146.94;07:06;3;18:45;21:20
1000;102.0;10.0;06:00;360.14;250.0;4.9;03:03;183.67;09:03;3;20:37;27:11
1600;100.0;9.8;09:47;587.76;400.0;4.9;04:53;293.88;14:41;2;26:15;29:23
2000;98.0;9.6;12:29;749.69;500.0;4.9;06:07;367.35;18:37;2;30:00;37:14
2400;97.0;9.5;15:08;908.9;600.0;4.9;07:20;440.82;22:29;2;30:00;44:59
2800;96.0;9.4;17:51;1071.43;700.0;4.9;08:34;514.29;26:25;2;30:00;52:51
