distance;pourcentage;vitesse_effort;temps_effort;distance_recup;vitesse_recup;temps_recup;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;105;21.1;00:34;50.0;10.1;00:17;00:52;18;15:00;15:36
300;99;19.9;00:54;75.0;10.1;00:26;01:21;12;15:00;16:13
400;98;19.7;01:13;100.0;10.1;00:35;01:48;9;15:00;16:20
500;97;19.5;01:32;125.0;10.1;00:44;02:17;7;15:56;15:59
600;96;19.3;01:51;150.0;10.1;00:53;02:45;7;16:52;19:19
700;95;19.1;02:11;175.0;10.1;01:02;03:14;6;17:48;19:27
800;94;18.9;02:32;200.0;10.1;01:11;03:44;6;18:45;22:24
1000;92;18.5;03:14;250.0;10.1;01:29;04:44;5;20:37;23:41
2000;89;17.9;06:42;500.0;10.1;02:59;09:41;4;30:00;38:46
3000;85;17.1;10:32;750.0;10.1;04:28;15:00;2;30:00;30:01
