distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;116.4;17.6;00:40;40.96;50.0;7.5;00:23;23.84;01:04;14;15:00;15:07
300;114.5;17.3;01:02;62.49;75.0;7.5;00:35;35.76;01:38;10;15:00;16:22
400;110.6;16.7;01:26;86.24;100.0;7.5;00:47;47.68;02:13;7;15:00;15:37
500;108.6;16.4;01:49;109.73;125.0;7.5;00:59;59.6;02:49;6;15:56;16:55
600;106.7;16.1;02:14;134.06;150.0;7.5;01:11;71.52;03:25;5;16:52;17:07
700;104.8;15.8;02:39;159.3;175.0;7.5;01:23;83.44;04:02;5;17:48;20:13
800;101.8;15.4;03:07;187.26;200.0;7.5;01:35;95.36;04:42;4;18:45;18:50
1000;98.9;14.9;04:00;240.96;250.0;7.5;01:59;119.21;06:00;4;20:37;24:00
1600;97.0;14.6;06:33;393.25;400.0;7.5;03:10;190.73;09:43;3;26:15;29:11
2000;95.1;14.4;08:21;501.6;500.0;7.5;03:58;238.41;12:20;3;30:00;37:00
2400;94.1;14.2;10:08;608.13;600.0;7.5;04:46;286.09;14:54;3;30:00;44:42
2800;93.1;14.1;11:56;716.87;700.0;7.5;05:33;333.77;17:30;2;30:00;35:01
