distance;pourcentage;vitesse_effort;temps_effort;distance_recup;vitesse_recup;temps_recup;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;102;18.2;00:39;50.0;8.9;00:20;00:59;16;15:00;15:58
300;97;17.3;01:02;75.0;8.9;00:30;01:32;10;15:00;15:28
400;96;17.1;01:24;100.0;8.9;00:40;02:04;8;15:00;16:37
500;95;16.9;01:46;125.0;8.9;00:50;02:37;7;15:56;18:19
600;94;16.7;02:09;150.0;8.9;01:00;03:09;6;16:52;18:58
700;93;16.6;02:32;175.0;8.9;01:10;03:43;5;17:48;18:35
800;92;16.4;02:55;200.0;8.9;01:20;04:16;5;18:45;21:23
1000;90;16.0;03:44;250.0;8.9;01:41;05:25;4;20:37;21:43
2000;87;15.5;07:44;500.0;8.9;03:22;11:07;3;30:00;33:21
3000;82;14.6;12:19;750.0;8.9;05:03;17:23;2;30:00;34:46
