distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
100;102;18.2;00:19;19.83;25.0;8.9;00:10;10.11;00:29;31;15:00;15:28
200;98;17.4;00:41;41.27;50.0;8.9;00:20;20.22;01:01;15;15:00;15:22
300;97;17.3;01:02;62.55;75.0;8.9;00:30;30.34;01:32;10;15:00;15:28
400;96;17.1;01:24;84.27;100.0;8.9;00:40;40.45;02:04;8;15:00;16:37
500;95;16.9;01:46;106.45;125.0;8.9;00:50;50.56;02:37;7;15:56;18:19
600;94;16.7;02:09;129.09;150.0;8.9;01:00;60.67;03:09;6;16:52;18:58
700;93;16.6;02:32;152.23;175.0;8.9;01:10;70.79;03:43;5;17:48;18:35
800;92;16.4;02:55;175.87;200.0;8.9;01:20;80.9;04:16;5;18:45;21:23
900;91;16.2;03:20;200.02;225.0;8.9;01:31;91.01;04:51;5;19:41;24:15
1000;90;16.0;03:44;224.72;250.0;8.9;01:41;101.12;05:25;4;20:37;21:43
2000;87;15.5;07:44;464.94;500.0;8.9;03:22;202.25;11:07;3;30:00;33:21
3000;82;14.6;12:19;739.93;750.0;8.9;05:03;303.37;17:23;2;30:00;34:46
