distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;120.0;20.8;00:34;34.68;50.0;8.7;00:20;20.81;00:55;17;15:00;15:43
300;118.0;20.4;00:52;52.9;75.0;8.7;00:31;31.21;01:24;11;15:00;15:25
400;114.0;19.7;01:13;73.01;100.0;8.7;00:41;41.62;01:54;8;15:00;15:17
500;112.0;19.4;01:32;92.9;125.0;8.7;00:52;52.02;02:24;7;15:56;16:54
600;110.0;19.0;01:53;113.5;150.0;8.7;01:02;62.43;02:55;6;16:52;17:35
700;108.0;18.7;02:14;134.87;175.0;8.7;01:12;72.83;03:27;6;17:48;20:46
800;105.0;18.2;02:38;158.55;200.0;8.7;01:23;83.24;04:01;5;18:45;20:08
1000;102.0;17.6;03:24;204.01;250.0;8.7;01:44;104.05;05:08;5;20:37;25:40
1600;100.0;17.3;05:32;332.95;400.0;8.7;02:46;166.47;08:19;4;26:15;33:17
2000;98.0;17.0;07:04;424.68;500.0;8.7;03:28;208.09;10:32;3;30:00;31:38
2400;97.0;16.8;08:34;514.87;600.0;8.7;04:09;249.71;12:44;3;30:00;38:13
2800;96.0;16.6;10:06;606.94;700.0;8.7;04:51;291.33;14:58;3;30:00;44:54
