distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;120.0;17.0;00:42;42.25;50.0;7.1;00:25;25.35;01:07;14;15:00;15:46
300;118.0;16.8;01:04;64.45;75.0;7.1;00:38;38.03;01:42;9;15:00;15:22
400;114.0;16.2;01:28;88.95;100.0;7.1;00:50;50.7;02:19;7;15:00;16:17
500;112.0;15.9;01:53;113.18;125.0;7.1;01:03;63.38;02:56;6;15:56;17:39
600;110.0;15.6;02:18;138.28;150.0;7.1;01:16;76.06;03:34;5;16:52;17:51
700;108.0;15.3;02:44;164.32;175.0;7.1;01:28;88.73;04:13;5;17:48;21:05
800;105.0;14.9;03:13;193.16;200.0;7.1;01:41;101.41;04:54;4;18:45;19:38
1000;102.0;14.5;04:08;248.55;250.0;7.1;02:06;126.76;06:15;4;20:37;25:01
1600;100.0;14.2;06:45;405.63;400.0;7.1;03:22;202.82;10:08;3;26:15;30:25
2000;98.0;13.9;08:37;517.39;500.0;7.1;04:13;253.52;12:50;3;30:00;38:32
2400;97.0;13.8;10:27;627.27;600.0;7.1;05:04;304.23;15:31;2;30:00;31:02
2800;96.0;13.6;12:19;739.44;700.0;7.1;05:54;354.93;18:14;2;30:00;36:28
