distance;pourcentage;vitesse_effort;temps_effort;distance_recup;vitesse_recup;temps_recup;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;105;17.5;00:41;50.0;8.3;00:21;01:02;15;15:00;15:39
300;99;16.5;01:05;75.0;8.3;00:32;01:37;10;15:00;16:16
400;98;16.4;01:27;100.0;8.3;00:43;02:11;7;15:00;15:17
500;97;16.2;01:51;125.0;8.3;00:53;02:45;6;15:56;16:30
600;96;16.0;02:14;150.0;8.3;01:04;03:19;6;16:52;19:56
700;95;15.9;02:38;175.0;8.3;01:15;03:54;5;17:48;19:31
800;94;15.7;03:03;200.0;8.3;01:26;04:29;5;18:45;22:28
1000;92;15.4;03:54;250.0;8.3;01:47;05:42;4;20:37;22:48
2000;89;14.9;08:04;500.0;8.3;03:35;11:39;3;30:00;34:59
3000;85;14.2;12:40;750.0;8.3;05:23;18:04;2;30:00;36:08
