distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
100;105;17.5;00:20;20.53;25.0;8.3;00:10;10.78;00:31;29;15:00;15:07
200;100;16.7;00:43;43.11;50.0;8.3;00:21;21.56;01:04;14;15:00;15:05
300;99;16.5;01:05;65.32;75.0;8.3;00:32;32.34;01:37;10;15:00;16:16
400;98;16.4;01:27;87.99;100.0;8.3;00:43;43.11;02:11;7;15:00;15:17
500;97;16.2;01:51;111.12;125.0;8.3;00:53;53.89;02:45;6;15:56;16:30
600;96;16.0;02:14;134.73;150.0;8.3;01:04;64.67;03:19;6;16:52;19:56
700;95;15.9;02:38;158.84;175.0;8.3;01:15;75.45;03:54;5;17:48;19:31
800;94;15.7;03:03;183.46;200.0;8.3;01:26;86.23;04:29;5;18:45;22:28
900;93;15.5;03:28;208.62;225.0;8.3;01:37;97.01;05:05;4;19:41;20:22
1000;92;15.4;03:54;234.31;250.0;8.3;01:47;107.78;05:42;4;20:37;22:48
2000;89;14.9;08:04;484.42;500.0;8.3;03:35;215.57;11:39;3;30:00;34:59
3000;85;14.2;12:40;760.83;750.0;8.3;05:23;323.35;18:04;2;30:00;36:08
