distance;pourcentage;vitesse_effort;temps_effort;distance_recup;vitesse_recup;temps_recup;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;102;19.6;00:36;50.0;9.6;00:18;00:55;17;15:00;15:43
300;97;18.6;00:57;75.0;9.6;00:28;01:26;11;15:00;15:47
400;96;18.4;01:18;100.0;9.6;00:37;01:55;8;15:00;15:25
500;95;18.2;01:38;125.0;9.6;00:46;02:25;7;15:56;16:58
600;94;18.0;01:59;150.0;9.6;00:56;02:55;6;16:52;17:35
700;93;17.9;02:21;175.0;9.6;01:05;03:26;6;17:48;20:40
800;92;17.7;02:43;200.0;9.6;01:15;03:58;5;18:45;19:50
1000;90;17.3;03:28;250.0;9.6;01:33;05:02;5;20:37;25:10
2000;87;16.7;07:11;500.0;9.6;03:07;10:18;3;30:00;30:55
3000;82;15.7;11:25;750.0;9.6;04:41;16:07;2;30:00;32:14
