distance;pourcentage;vitesse_effort;temps_effort;temps_effort_sec;distance_recup;vitesse_recup;temps_recup;temps_recup_sec;temps_total_rep;nb_rep;temps_cible;temps_total_seance
200;120.0;13.4;00:53;53.57;50.0;5.6;00:32;32.14;01:25;11;15:00;15:42
300;118.0;13.2;01:21;81.72;75.0;5.6;00:48;48.21;02:09;7;15:00;15:09
400;114.0;12.8;01:52;112.78;100.0;5.6;01:04;64.29;02:57;6;15:00;17:42
500;112.0;12.5;02:23;143.49;125.0;5.6;01:20;80.36;03:43;5;15:56;18:39
600;110.0;12.3;02:55;175.32;150.0;5.6;01:36;96.43;04:31;4;16:52;18:07
700;108.0;12.1;03:28;208.33;175.0;5.6;01:52;112.5;05:20;4;17:48;21:23
800;105.0;11.8;04:04;244.9;200.0;5.6;02:08;128.57;06:13;4;18:45;24:53
1000;102.0;11.4;05:15;315.13;250.0;5.6;02:40;160.71;07:55;3;20:37;23:47
1600;100.0;11.2;08:34;514.29;400.0;5.6;04:17;257.14;12:51;3;26:15;38:34
2000;98.0;11.0;10:55;655.98;500.0;5.6;05:21;321.43;16:17;2;30:00;32:34
2400;97.0;10.9;13:15;795.29;600.0;5.6;06:25;385.71;19:41;2;30:00;39:22
2800;96.0;10.8;15:37;937.5;700.0;5.6;07:30;450.0;23:07;2;30:00;46:15
