N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type;Plaisir (0-5);Retour Athlète;Commentaires;Niveau semaine;Séances clés;Message Envoyé ?
🟢S-11;Mardi;2026-08-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (51 min);51;🟦;;;;;Vélo: Seuil Z4;
🟢S-11;*;2026-08-25;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩;;;;;;
🟢S-11;Mercredi;2026-08-26;Vélo;Seuil Z4;Seuil Z4 (80 min);80;🟨;;;;;Vélo: Seuil Z4;
🟢S-11;Jeudi;2026-08-27;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (72 min);72;🟩;;;;;Vélo: Seuil Z4;
🟢S-11;*;2026-08-27;Natation;Récupération active;Récupération active (72 min);72;🟦;;;;;;
🟡S-10;Mardi;2026-09-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (78 min);78;🟦;;;;;Vélo: Seuil Z4;
🟡S-10;*;2026-09-01;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩;;;;;;
🟡S-10;Mercredi;2026-09-02;Vélo;Seuil Z4;Seuil Z4 (123 min);123;🟨;;;;;Vélo: Seuil Z4;
🟡S-10;Jeudi;2026-09-03;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (112 min);112;🟩;;;;;Vélo: Seuil Z4;
🟡S-10;*;2026-09-03;Natation;Récupération active;Récupération active (72 min);72;🟦;;;;;;
🔴S-09;Mardi;2026-09-08;CAP;VC;VC 500m x 6 @ 11.6 km/h (effort 02:34 / recup 125.0m x 01:24) - 15min d'intensité;45;🟨;;;;;CAP: VC, Vélo: Seuil Z4;
🔴S-09;Mercredi;2026-09-09;Vélo;Seuil Z4;Seuil Z4 (172 min);172;🟨;;;;;CAP: VC, Vélo: Seuil Z4;
🔴S-09;Jeudi;2026-09-10;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VC, Vélo: Seuil Z4;
