Date,Name,Description,Planned Duration,Intensity,Notes
2026-08-24,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-08-24,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-08-25,CAP - VC (300m x 14),300m x 14 - effort 01:08 / récup 75.0m x 00:39,40 min,Moderate,
2026-08-26,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-08-27,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-08-29,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-08-30,CAP - Footing de récupération Z1,Footing de récupération Z1 (102 min),102 min,Recovery,
2026-08-31,Vélo - Endurance Z2,Endurance Z2 (112 min),112 min,Easy,
2026-08-31,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-09-01,CAP - VMA (300m x 14),300m x 14 - effort 01:08 / récup 75.0m x 00:33,41 min,Hard,
2026-09-02,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-09-03,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-09-05,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-06,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-07,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-09-07,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-09-08,CAP - VC (500m x 8),500m x 8 - effort 02:00 / récup 125.0m x 01:05,39 min,Moderate,
2026-09-09,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-09-10,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-09-12,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-13,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2026-09-14,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-09-14,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-09-16,Natation - Endurance Z2,Endurance Z2 (85 min),85 min,Easy,
2026-09-17,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (82 min),82 min,Easy,
2026-09-19,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-20,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-09-21,Vélo - Endurance Z2,Endurance Z2 (109 min),109 min,Easy,
2026-09-21,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
