Date,Name,Description,Planned Duration,Intensity,Notes
2026-08-23,CAP - VC (300m x 15),VC 300m x 15 @ 17.5 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité,39 min,Moderate,
2026-08-24,CAP - VMA (300m x 17),VMA 300m x 17 @ 20.1 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité,37 min,Hard,
2026-08-25,CAP - Footing de récupération Z1,Footing de récupération Z1 (113 min),113 min,Recovery,
2026-08-25,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-08-27,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (162 min),162 min,Easy,
2026-08-30,CAP - Footing de récupération Z1,Footing de récupération Z1 (113 min),113 min,Recovery,
2026-08-31,CAP - VC (500m x 9),VC 500m x 9 @ 16.6 km/h (effort 01:48 / recup 125.0m x 01:00) - 16min d'intensité,40 min,Moderate,
2026-09-01,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-09-01,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-09-03,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (130 min),130 min,Easy,
2026-09-06,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-09-07,CAP - VMA (500m x 10),VMA 500m x 10 @ 19.7 km/h (effort 01:31 / recup 125.0m x 00:44) - 15min d'intensité,22 min,Hard,
2026-09-08,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-09-08,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-09-10,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (82 min),82 min,Easy,
2026-09-13,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-09-14,CAP - VC (700m x 6),VC 700m x 6 @ 16.0 km/h (effort 02:37 / recup 175.0m x 01:25) - 15min d'intensité,42 min,Moderate,
2026-09-15,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-15,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-09-17,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (172 min),172 min,Easy,
2026-09-20,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-21,CAP - VMA (700m x 7),VMA 700m x 7 @ 19.3 km/h (effort 02:10 / recup 175.0m x 01:02) - 15min d'intensité,37 min,Hard,
2026-09-22,CAP - Footing de récupération Z1,Footing de récupération Z1 (113 min),113 min,Recovery,
2026-09-22,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-09-24,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (162 min),162 min,Easy,
2026-09-27,CAP - Footing de récupération Z1,Footing de récupération Z1 (113 min),113 min,Recovery,
2026-09-28,CAP - VC (1000m x 4),VC 1000m x 4 @ 15.1 km/h (effort 03:58 / recup 250.0m x 02:01) - 15min d'intensité,39 min,Moderate,
2026-09-29,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-09-29,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-10-01,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (130 min),130 min,Easy,
2026-10-04,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-10-05,CAP - VMA (900m x 6),VMA 900m x 6 @ 18.9 km/h (effort 02:51 / recup 225.0m x 01:19) - 17min d'intensité,24 min,Hard,
2026-10-06,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-10-06,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-10-08,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (82 min),82 min,Easy,
2026-10-11,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-10-12,CAP - VC (2000m x 3),VC 2000m x 3 @ 14.5 km/h (effort 08:16 / recup 500.0m x 04:03) - 24min d'intensité,56 min,Moderate,
2026-10-13,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-10-13,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-10-15,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (172 min),172 min,Easy,
2026-10-18,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-10-19,CAP - VMA (2000m x 4),VMA 2000m x 4 @ 18.1 km/h (effort 06:38 / recup 500.0m x 02:57) - 26min d'intensité,53 min,Hard,
2026-10-20,CAP - Footing de récupération Z1,Footing de récupération Z1 (113 min),113 min,Recovery,
2026-10-20,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2026-10-22,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (162 min),162 min,Easy,
2026-10-25,CAP - Footing de récupération Z1,Footing de récupération Z1 (113 min),113 min,Recovery,
2026-10-26,CAP - VC (2800m x 2),VC 2800m x 2 @ 14.2 km/h (effort 11:49 / recup 700.0m x 05:40) - 23min d'intensité,50 min,Moderate,
2026-10-27,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-10-27,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-10-29,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (130 min),130 min,Easy,
2026-11-01,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-11-02,CAP - VMA (100m x 54),VMA 100m x 54 @ 21.3 km/h (effort 00:16 / recup 25.0m x 00:08) - 15min d'intensité,22 min,Hard,
2026-11-03,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-11-03,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2026-11-05,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (82 min),82 min,Easy,
2026-11-08,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-11-09,CAP - VC (300m x 15),VC 300m x 15 @ 17.5 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité,42 min,Moderate,
2026-11-10,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-11-10,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-11-12,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (172 min),172 min,Easy,
2026-11-15,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-11-16,CAP - VMA (300m x 17),VMA 300m x 17 @ 20.1 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité,37 min,Hard,
2026-11-17,CAP - Footing de récupération Z1,Footing de récupération Z1 (113 min),113 min,Recovery,
2026-11-17,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-11-19,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (162 min),162 min,Easy,
2026-11-22,CAP - Footing de récupération Z1,Footing de récupération Z1 (113 min),113 min,Recovery,
2026-11-23,CAP - VC (500m x 9),VC 500m x 9 @ 16.6 km/h (effort 01:48 / recup 125.0m x 01:00) - 16min d'intensité,40 min,Moderate,
2026-11-24,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-11-24,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-11-26,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (130 min),130 min,Easy,
2026-11-29,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-11-30,CAP - VMA (500m x 10),VMA 500m x 10 @ 19.7 km/h (effort 01:31 / recup 125.0m x 00:44) - 15min d'intensité,22 min,Hard,
2026-12-01,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-12-01,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-12-03,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (82 min),82 min,Easy,
2026-12-06,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-12-07,CAP - VC (700m x 6),VC 700m x 6 @ 16.0 km/h (effort 02:37 / recup 175.0m x 01:25) - 15min d'intensité,42 min,Moderate,
2026-12-08,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2026-12-08,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-12-10,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2026-12-13,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2026-12-14,CAP - VMA (700m x 7),VMA 700m x 7 @ 19.3 km/h (effort 02:10 / recup 175.0m x 01:02) - 15min d'intensité,44 min,Hard,
2026-12-15,CAP - Footing de récupération Z1,Footing de récupération Z1 (261 min),261 min,Recovery,
2026-12-15,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-12-17,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (372 min),372 min,Easy,
2026-12-20,CAP - Footing de récupération Z1,Footing de récupération Z1 (261 min),261 min,Recovery,
2026-12-21,CAP - VC (1000m x 4),VC 1000m x 4 @ 15.1 km/h (effort 03:58 / recup 250.0m x 02:01) - 15min d'intensité,42 min,Moderate,
2026-12-22,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2026-12-22,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-12-24,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2026-12-27,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2026-12-28,CAP - VMA (900m x 6),VMA 900m x 6 @ 18.9 km/h (effort 02:51 / recup 225.0m x 01:19) - 17min d'intensité,24 min,Hard,
2026-12-29,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2026-12-29,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-12-31,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (123 min),123 min,Easy,
2027-01-03,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2027-01-04,CAP - VC (2000m x 3),VC 2000m x 3 @ 14.5 km/h (effort 08:16 / recup 500.0m x 04:03) - 24min d'intensité,56 min,Moderate,
2027-01-05,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-01-05,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2027-01-07,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2027-01-10,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-01-11,CAP - VMA (2000m x 4),VMA 2000m x 4 @ 18.1 km/h (effort 06:38 / recup 500.0m x 02:57) - 26min d'intensité,63 min,Hard,
2027-01-12,CAP - Footing de récupération Z1,Footing de récupération Z1 (261 min),261 min,Recovery,
2027-01-12,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2027-01-14,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (372 min),372 min,Easy,
2027-01-17,CAP - Footing de récupération Z1,Footing de récupération Z1 (261 min),261 min,Recovery,
2027-01-18,CAP - VC (2800m x 2),VC 2800m x 2 @ 14.2 km/h (effort 11:49 / recup 700.0m x 05:40) - 23min d'intensité,55 min,Moderate,
2027-01-19,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-01-19,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2027-01-21,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2027-01-24,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-01-25,CAP - VMA (100m x 54),VMA 100m x 54 @ 21.3 km/h (effort 00:16 / recup 25.0m x 00:08) - 15min d'intensité,22 min,Hard,
2027-01-26,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2027-01-26,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2027-01-28,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (123 min),123 min,Easy,
2027-01-31,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2027-02-01,CAP - VC (300m x 15),VC 300m x 15 @ 17.5 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité,42 min,Moderate,
2027-02-02,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-02-02,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2027-02-04,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2027-02-07,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-02-08,CAP - VMA (300m x 17),VMA 300m x 17 @ 20.1 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité,44 min,Hard,
2027-02-09,CAP - Footing de récupération Z1,Footing de récupération Z1 (261 min),261 min,Recovery,
2027-02-09,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2027-02-11,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (372 min),372 min,Easy,
2027-02-14,CAP - Footing de récupération Z1,Footing de récupération Z1 (261 min),261 min,Recovery,
2027-02-15,CAP - VC (500m x 9),VC 500m x 9 @ 16.6 km/h (effort 01:48 / recup 125.0m x 01:00) - 16min d'intensité,44 min,Moderate,
2027-02-16,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-02-16,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2027-02-18,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2027-02-21,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-02-22,CAP - VMA (500m x 10),VMA 500m x 10 @ 19.7 km/h (effort 01:31 / recup 125.0m x 00:44) - 15min d'intensité,22 min,Hard,
2027-02-23,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2027-02-23,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2027-02-25,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (123 min),123 min,Easy,
2027-02-28,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2027-03-01,CAP - VC (700m x 6),VC 700m x 6 @ 16.0 km/h (effort 02:37 / recup 175.0m x 01:25) - 15min d'intensité,42 min,Moderate,
2027-03-02,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-03-02,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2027-03-04,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2027-03-07,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-03-08,CAP - VMA (700m x 7),VMA 700m x 7 @ 19.3 km/h (effort 02:10 / recup 175.0m x 01:02) - 15min d'intensité,44 min,Hard,
2027-03-09,CAP - Footing de récupération Z1,Footing de récupération Z1 (261 min),261 min,Recovery,
2027-03-09,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2027-03-11,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (372 min),372 min,Easy,
2027-03-14,CAP - Footing de récupération Z1,Footing de récupération Z1 (261 min),261 min,Recovery,
2027-03-15,CAP - VC (1000m x 4),VC 1000m x 4 @ 15.1 km/h (effort 03:58 / recup 250.0m x 02:01) - 15min d'intensité,42 min,Moderate,
2027-03-16,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-03-16,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2027-03-18,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2027-03-21,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-03-22,CAP - VMA (900m x 6),VMA 900m x 6 @ 18.9 km/h (effort 02:51 / recup 225.0m x 01:19) - 17min d'intensité,24 min,Hard,
2027-03-23,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2027-03-23,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2027-03-25,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (123 min),123 min,Easy,
2027-03-28,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2027-03-29,CAP - VC (2000m x 3),VC 2000m x 3 @ 14.5 km/h (effort 08:16 / recup 500.0m x 04:03) - 24min d'intensité,56 min,Moderate,
2027-03-30,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-03-30,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2027-04-01,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2027-04-04,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-04-05,CAP - VMA (2000m x 4),VMA 2000m x 4 @ 18.1 km/h (effort 06:38 / recup 500.0m x 02:57) - 26min d'intensité,63 min,Hard,
2027-04-06,CAP - Footing de récupération Z1,Footing de récupération Z1 (261 min),261 min,Recovery,
2027-04-06,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2027-04-08,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (372 min),372 min,Easy,
2027-04-11,CAP - Footing de récupération Z1,Footing de récupération Z1 (261 min),261 min,Recovery,
2027-04-12,CAP - VC (2800m x 2),VC 2800m x 2 @ 14.2 km/h (effort 11:49 / recup 700.0m x 05:40) - 23min d'intensité,55 min,Moderate,
2027-04-13,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-04-13,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2027-04-15,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2027-04-18,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-04-19,CAP - VMA (100m x 54),VMA 100m x 54 @ 21.3 km/h (effort 00:16 / recup 25.0m x 00:08) - 15min d'intensité,22 min,Hard,
2027-04-20,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2027-04-20,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2027-04-22,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (123 min),123 min,Easy,
2027-04-25,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2027-04-26,CAP - VC (300m x 15),VC 300m x 15 @ 17.5 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité,42 min,Moderate,
2027-04-27,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-04-27,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2027-04-29,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (259 min),259 min,Easy,
2027-05-02,CAP - Footing de récupération Z1,Footing de récupération Z1 (181 min),181 min,Recovery,
2027-05-03,CAP - VMA (300m x 17),VMA 300m x 17 @ 20.1 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité,44 min,Hard,
