N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type;Plaisir (0-5);Retour Athlète;Commentaires;Niveau semaine;Séances clés;Message Envoyé ?
🟢S-64;Lundi;2026-08-24;CAP;VC;VC 300m x 15 @ 17.5 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité;39;🟨;;;;;CAP: VC;
🟢S-64;Mardi;2026-08-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (102 min);102;🟦;;;;;CAP: VC;
🟢S-64;*;2026-08-25;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩;;;;;;
🟢S-64;Jeudi;2026-08-27;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VC;
🟢S-64;Dimanche;2026-08-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (102 min);102;🟦;;;;;CAP: VC;
🟡S-63;Lundi;2026-08-31;CAP;VMA;VMA 300m x 17 @ 20.1 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité;40;🟥;;;;;CAP: VMA;
🟡S-63;Mardi;2026-09-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦;;;;;CAP: VMA;
🟡S-63;*;2026-09-01;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩;;;;;;
🟡S-63;Jeudi;2026-09-03;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VMA;
🟡S-63;Dimanche;2026-09-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦;;;;;CAP: VMA;
🟢S-62;Lundi;2026-09-07;CAP;VC;VC 500m x 9 @ 16.7 km/h (effort 01:48 / recup 125.0m x 01:00) - 16min d'intensité;40;🟨;;;;;CAP: VC;
🟢S-62;Mardi;2026-09-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦;;;;;CAP: VC;
🟢S-62;*;2026-09-08;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩;;;;;;
🟢S-62;Jeudi;2026-09-10;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VC;
🟢S-62;Dimanche;2026-09-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦;;;;;CAP: VC;
⚪S-61;Lundi;2026-09-14;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩;;;;;;
⚪S-61;*;2026-09-14;Renforcement;Gainage;Gainage (30 min);30;🟩;;;;;;
⚪S-61;Mardi;2026-09-15;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦;;;;;;
⚪S-61;Jeudi;2026-09-17;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩;;;;;;
⚪S-61;Dimanche;2026-09-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦;;;;;;
🟡S-60;Lundi;2026-09-21;CAP;VC;VC 700m x 6 @ 16.1 km/h (effort 02:37 / recup 175.0m x 01:25) - 15min d'intensité;42;🟨;;;;;CAP: VC;
🟡S-60;Mardi;2026-09-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (103 min);103;🟦;;;;;CAP: VC;
🟡S-60;*;2026-09-22;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩;;;;;;
🟡S-60;Jeudi;2026-09-24;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VC;
🟡S-60;Dimanche;2026-09-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (103 min);103;🟦;;;;;CAP: VC;
🟢S-59;Lundi;2026-09-28;CAP;VMA;VMA 700m x 7 @ 19.4 km/h (effort 02:10 / recup 175.0m x 01:02) - 15min d'intensité;37;🟥;;;;;CAP: VMA;
🟢S-59;Mardi;2026-09-29;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦;;;;;CAP: VMA;
🟢S-59;*;2026-09-29;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩;;;;;;
🟢S-59;Jeudi;2026-10-01;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VMA;
🟢S-59;Dimanche;2026-10-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦;;;;;CAP: VMA;
🟡S-58;Lundi;2026-10-05;CAP;VC;VC 1000m x 4 @ 15.2 km/h (effort 03:58 / recup 250.0m x 02:01) - 15min d'intensité;42;🟨;;;;;CAP: VC;
🟡S-58;Mardi;2026-10-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (97 min);97;🟦;;;;;CAP: VC;
🟡S-58;*;2026-10-06;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩;;;;;;
🟡S-58;Jeudi;2026-10-08;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VC;
🟡S-58;Dimanche;2026-10-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (97 min);97;🟦;;;;;CAP: VC;
⚪S-57;Lundi;2026-10-12;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩;;;;;;
⚪S-57;*;2026-10-12;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩;;;;;;
⚪S-57;Mardi;2026-10-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦;;;;;;
⚪S-57;Jeudi;2026-10-15;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩;;;;;;
⚪S-57;Dimanche;2026-10-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦;;;;;;
🟡S-56;Lundi;2026-10-19;CAP;VC;VC 2000m x 3 @ 14.7 km/h (effort 08:16 / recup 500.0m x 04:03) - 24min d'intensité;56;🟨;;;;;CAP: VC;
🟡S-56;Mardi;2026-10-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦;;;;;CAP: VC;
🟡S-56;*;2026-10-20;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩;;;;;;
🟡S-56;Jeudi;2026-10-22;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VC;
🟡S-56;Dimanche;2026-10-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦;;;;;CAP: VC;
🟢S-55;Lundi;2026-10-26;CAP;VMA;VMA 2000m x 4 @ 18.3 km/h (effort 06:38 / recup 500.0m x 02:57) - 26min d'intensité;53;🟥;;;;;CAP: VMA;
🟢S-55;Mardi;2026-10-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (106 min);106;🟦;;;;;CAP: VMA;
🟢S-55;*;2026-10-27;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩;;;;;;
🟢S-55;Jeudi;2026-10-29;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VMA;
🟢S-55;Dimanche;2026-11-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (106 min);106;🟦;;;;;CAP: VMA;
🟡S-54;Lundi;2026-11-02;CAP;VC;VC 2800m x 2 @ 14.4 km/h (effort 11:49 / recup 700.0m x 05:40) - 23min d'intensité;55;🟨;;;;;CAP: VC;
🟡S-54;Mardi;2026-11-03;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦;;;;;CAP: VC;
🟡S-54;*;2026-11-03;Renforcement;Gainage;Gainage (30 min);30;🟩;;;;;;
🟡S-54;Jeudi;2026-11-05;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VC;
🟡S-54;Dimanche;2026-11-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦;;;;;CAP: VC;
⚪S-53;Lundi;2026-11-09;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩;;;;;;
⚪S-53;*;2026-11-09;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩;;;;;;
⚪S-53;Mardi;2026-11-10;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦;;;;;;
⚪S-53;Jeudi;2026-11-12;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩;;;;;;
⚪S-53;Dimanche;2026-11-15;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦;;;;;;
🟡S-52;Lundi;2026-11-16;CAP;VC;VC 300m x 15 @ 17.8 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité;42;🟨;;;;;CAP: VC;
🟡S-52;Mardi;2026-11-17;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦;;;;;CAP: VC;
🟡S-52;*;2026-11-17;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩;;;;;;
