Date,Name,Description,Planned Duration,Intensity,Notes
2026-08-26,CAP - VC (300m x 10),300m x 10 - effort 01:32 / récup 75.0m x 00:52,39 min,Moderate,
2026-08-28,CAP - Footing de récupération Z1,Footing de récupération Z1 (102 min),102 min,Recovery,
2026-08-28,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-08-29,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-08-30,CAP - Footing de récupération Z1,Footing de récupération Z1 (102 min),102 min,Recovery,
2026-09-02,CAP - VMA (300m x 15),300m x 15 - effort 01:01 / récup 75.0m x 00:29,40 min,Hard,
2026-09-04,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-04,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2026-09-05,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-06,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-09,CAP - VC (500m x 6),500m x 6 - effort 02:42 / récup 125.0m x 01:28,40 min,Moderate,
2026-09-11,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2026-09-11,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-09-12,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-13,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2026-09-16,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-09-16,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-09-18,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-09-19,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-20,CAP - Footing de récupération Z1,Footing de récupération Z1 (58 min),58 min,Recovery,
2026-09-23,CAP - VC (700m x 4),700m x 4 - effort 03:55 / récup 175.0m x 02:03,41 min,Moderate,
2026-09-25,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-25,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-09-26,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-27,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-30,CAP - VMA (700m x 7),700m x 7 - effort 02:28 / récup 175.0m x 01:09,40 min,Hard,
2026-10-02,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-10-02,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-10-03,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-10-04,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-10-07,CAP - VC (1000m x 3),1000m x 3 - effort 05:56 / récup 250.0m x 02:56,45 min,Moderate,
2026-10-09,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-10-09,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-10-10,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-10-11,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-10-14,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2026-10-14,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-10-16,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
2026-10-17,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-10-18,CAP - Footing de récupération Z1,Footing de récupération Z1 (86 min),86 min,Recovery,
