N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type;Plaisir (0-5);Retour Athlète;Commentaires;Niveau semaine;Séances clés;Message Envoyé ?
🟢S-17;Dimanche;2026-08-23;CAP;VC;VC 300m x 10 @ 11.7 km/h (effort 01:32 / recup 75.0m x 00:52) - 15min d'intensité;39;🟨;;;;;CAP: VC;
🟢S-16;Mercredi;2026-08-26;CAP;VMA;VMA 300m x 15 @ 17.7 km/h (effort 01:01 / recup 75.0m x 00:29) - 15min d'intensité;37;🟥;;;;;CAP: VMA;
🟢S-16;Vendredi;2026-08-28;CAP;Footing de récupération Z1;Footing de récupération Z1 (113 min);113;🟦;;;;;CAP: VMA;
🟢S-16;*;2026-08-28;Renforcement;Gainage;Gainage (30 min);30;🟩;;;;;;
🟢S-16;Samedi;2026-08-29;CAP;Sortie longue Z2;Sortie longue Z2 (243 min);243;🟩;;;;;CAP: VMA;
🟢S-16;Dimanche;2026-08-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (113 min);113;🟦;;;;;CAP: VMA;
🟢S-15;Mercredi;2026-09-02;CAP;VC;VC 500m x 6 @ 11.1 km/h (effort 02:42 / recup 125.0m x 01:28) - 16min d'intensité;40;🟨;;;;;CAP: VC;
🟢S-15;Vendredi;2026-09-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (91 min);91;🟦;;;;;CAP: VC;
🟢S-15;*;2026-09-04;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩;;;;;;
🟢S-15;Samedi;2026-09-05;CAP;Sortie longue Z2;Sortie longue Z2 (195 min);195;🟩;;;;;CAP: VC;
🟢S-15;Dimanche;2026-09-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (91 min);91;🟦;;;;;CAP: VC;
⚪S-14;Mercredi;2026-09-09;CAP;VMA;VMA 500m x 9 @ 17.3 km/h (effort 01:44 / recup 125.0m x 00:49) - 15min d'intensité;22;🟥;;;;;CAP: VMA;
⚪S-14;Vendredi;2026-09-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦;;;;;CAP: VMA;
⚪S-14;*;2026-09-11;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩;;;;;;
⚪S-14;Samedi;2026-09-12;CAP;Sortie longue Z2;Sortie longue Z2 (124 min);124;🟩;;;;;CAP: VMA;
⚪S-14;Dimanche;2026-09-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦;;;;;CAP: VMA;
🟡S-13;Mercredi;2026-09-16;CAP;VC;VC 700m x 4 @ 10.7 km/h (effort 03:55 / recup 175.0m x 02:03) - 15min d'intensité;41;🟨;;;;;CAP: VC;
🟡S-13;Vendredi;2026-09-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (181 min);181;🟦;;;;;CAP: VC;
🟡S-13;*;2026-09-18;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩;;;;;;
🟡S-13;Samedi;2026-09-19;CAP;Sortie longue Z2;Sortie longue Z2 (388 min);388;🟩;;;;;CAP: VC;
🟡S-13;Dimanche;2026-09-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (181 min);181;🟦;;;;;CAP: VC;
🔴S-12;Mercredi;2026-09-23;CAP;VMA;VMA 700m x 7 @ 16.9 km/h (effort 02:28 / recup 175.0m x 01:09) - 17min d'intensité;48;🟥;;;;;CAP: VMA;
🔴S-12;Vendredi;2026-09-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (261 min);261;🟦;;;;;CAP: VMA;
🔴S-12;*;2026-09-25;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩;;;;;;
🔴S-12;Samedi;2026-09-26;CAP;Sortie longue Z2;Sortie longue Z2 (559 min);559;🟩;;;;;CAP: VMA;
🔴S-12;Dimanche;2026-09-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (261 min);261;🟦;;;;;CAP: VMA;
🟡S-11;Mercredi;2026-09-30;CAP;VC;VC 1000m x 3 @ 10.1 km/h (effort 05:56 / recup 250.0m x 02:56) - 17min d'intensité;45;🟨;;;;;CAP: VC;
🟡S-11;Vendredi;2026-10-02;CAP;Footing de récupération Z1;Footing de récupération Z1 (181 min);181;🟦;;;;;CAP: VC;
🟡S-11;*;2026-10-02;Renforcement;Gainage;Gainage (30 min);30;🟩;;;;;;
🟡S-11;Samedi;2026-10-03;CAP;Sortie longue Z2;Sortie longue Z2 (388 min);388;🟩;;;;;CAP: VC;
🟡S-11;Dimanche;2026-10-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (181 min);181;🟦;;;;;CAP: VC;
⚪S-10;Mercredi;2026-10-07;CAP;VMA;VMA 900m x 5 @ 16.6 km/h (effort 03:15 / recup 225.0m x 01:29) - 16min d'intensité;22;🟥;;;;;CAP: VMA;
⚪S-10;Vendredi;2026-10-09;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦;;;;;CAP: VMA;
⚪S-10;*;2026-10-09;Renforcement;Gainage;Gainage (30 min);30;🟩;;;;;;
⚪S-10;Samedi;2026-10-10;CAP;Sortie longue Z2;Sortie longue Z2 (185 min);185;🟩;;;;;CAP: VMA;
⚪S-10;Dimanche;2026-10-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦;;;;;CAP: VMA;
🟡S-09;Mercredi;2026-10-14;CAP;VC;VC 2000m x 2 @ 9.7 km/h (effort 12:22 / recup 500.0m x 05:52) - 24min d'intensité;56;🟨;;;;;CAP: VC;
🟡S-09;Vendredi;2026-10-16;CAP;Footing de récupération Z1;Footing de récupération Z1 (181 min);181;🟦;;;;;CAP: VC;
🟡S-09;*;2026-10-16;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩;;;;;;
🟡S-09;Samedi;2026-10-17;CAP;Sortie longue Z2;Sortie longue Z2 (388 min);388;🟩;;;;;CAP: VC;
🟡S-09;Dimanche;2026-10-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (181 min);181;🟦;;;;;CAP: VC;
🔴S-08;Mercredi;2026-10-21;CAP;VMA;VMA 2000m x 3 @ 15.8 km/h (effort 07:34 / recup 500.0m x 03:17) - 22min d'intensité;56;🟥;;;;;CAP: VMA;
🔴S-08;Vendredi;2026-10-23;CAP;Footing de récupération Z1;Footing de récupération Z1 (261 min);261;🟦;;;;;CAP: VMA;
🔴S-08;*;2026-10-23;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩;;;;;;
🔴S-08;Samedi;2026-10-24;CAP;Sortie longue Z2;Sortie longue Z2 (559 min);559;🟩;;;;;CAP: VMA;
🔴S-08;Dimanche;2026-10-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (261 min);261;🟦;;;;;CAP: VMA;
🟡S-07;Mercredi;2026-10-28;CAP;VC;VC 2800m x 1 @ 9.5 km/h (effort 17:41 / recup 700.0m x 08:14) - 17min d'intensité;44;🟨;;;;;CAP: VC;
🟡S-07;Vendredi;2026-10-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (149 min);149;🟦;;;;;CAP: VC;
🟡S-07;*;2026-10-30;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩;;;;;;
🟡S-07;Samedi;2026-10-31;CAP;Sortie longue Z2;Sortie longue Z2 (320 min);320;🟩;;;;;CAP: VC;
🟡S-07;Dimanche;2026-11-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (149 min);149;🟦;;;;;CAP: VC;
⚪S-06;Mercredi;2026-11-04;CAP;VMA;VMA 100m x 47 @ 18.6 km/h (effort 00:19 / recup 25.0m x 00:09) - 15min d'intensité;22;🟥;;;;;CAP: VMA;
⚪S-06;Vendredi;2026-11-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦;;;;;CAP: VMA;
⚪S-06;*;2026-11-06;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩;;;;;;
⚪S-06;Samedi;2026-11-07;CAP;Sortie longue Z2;Sortie longue Z2 (151 min);151;🟩;;;;;CAP: VMA;
⚪S-06;Dimanche;2026-11-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦;;;;;CAP: VMA;
🟡S-05;Mercredi;2026-11-11;CAP;VC;VC 300m x 10 @ 11.7 km/h (effort 01:32 / recup 75.0m x 00:52) - 15min d'intensité;42;🟨;;;;;CAP: VC;
🟡S-05;Vendredi;2026-11-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (149 min);149;🟦;;;;;CAP: VC;
🟡S-05;*;2026-11-13;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩;;;;;;
🟡S-05;Samedi;2026-11-14;CAP;Sortie longue Z2;Sortie longue Z2 (320 min);320;🟩;;;;;CAP: VC;
🟡S-05;Dimanche;2026-11-15;CAP;Footing de récupération Z1;Footing de récupération Z1 (149 min);149;🟦;;;;;CAP: VC;
