N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type;Plaisir (0-5);Retour Athlète;Commentaires;Niveau semaine;Séances clés;Message Envoyé ?
🟢S-16;Mardi;2026-08-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (51 min);51;🟦;;;;;;
🟢S-16;*;2026-08-25;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩;;;;;;
🟢S-16;Mercredi;2026-08-26;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩;;;;;;
🟢S-16;Jeudi;2026-08-27;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (72 min);72;🟩;;;;;;
🟢S-16;*;2026-08-27;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩;;;;;;
🟡S-15;Mardi;2026-09-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (78 min);78;🟦;;;;;;
🟡S-15;*;2026-09-01;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩;;;;;;
🟡S-15;Mercredi;2026-09-02;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩;;;;;;
🟡S-15;Jeudi;2026-09-03;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (112 min);112;🟩;;;;;;
🟡S-15;*;2026-09-03;Vélo;Endurance Z2;Endurance Z2 (112 min);112;🟩;;;;;;
🟢S-14;Mardi;2026-09-08;CAP;VC;VC 500m x 5 @ 9.9 km/h (effort 03:02 / recup 125.0m x 01:38) - 15min d'intensité;38;🟨;;;;;CAP: VC;
🟢S-14;Mercredi;2026-09-09;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩;;;;;CAP: VC;
🟢S-14;*;2026-09-09;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩;;;;;;
🟢S-14;Jeudi;2026-09-10;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (61 min);61;🟩;;;;;CAP: VC;
🟢S-14;*;2026-09-10;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩;;;;;;
⚪S-13;Mardi;2026-09-15;Course;Compétition intermédiaire;Triathlon Annecy 15/09;0;⭐;;;;;;
⚪S-13;Mercredi;2026-09-16;Natation;Endurance Z2;Endurance Z2 (85 min);85;🟩;;;;;;
⚪S-13;*;2026-09-16;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩;;;;;;
⚪S-13;Jeudi;2026-09-17;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (41 min);41;🟩;;;;;;
⚪S-13;*;2026-09-17;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩;;;;;;
🔴S-12;Mardi;2026-09-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (91 min);91;🟦;;;;;;
🔴S-12;*;2026-09-22;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩;;;;;;
🔴S-12;Mercredi;2026-09-23;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩;;;;;;
🔴S-12;Jeudi;2026-09-24;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;;
🔴S-12;*;2026-09-24;Vélo;Endurance Z2;Endurance Z2 (130 min);130;🟩;;;;;;
🟡S-11;Mardi;2026-09-29;CAP;VMA;VMA 700m x 5 @ 13.0 km/h (effort 03:13 / recup 175.0m x 01:30) - 16min d'intensité;41;🟥;;;;;CAP: VMA;
🟡S-11;Mercredi;2026-09-30;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩;;;;;CAP: VMA;
🟡S-11;*;2026-09-30;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩;;;;;;
🟡S-11;Jeudi;2026-10-01;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;CAP: VMA;
🟡S-11;*;2026-10-01;Vélo;Endurance Z2;Endurance Z2 (180 min);180;🟩;;;;;;
🔴S-10;Mardi;2026-10-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (85 min);85;🟦;;;;;;
🔴S-10;*;2026-10-06;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩;;;;;;
🔴S-10;Mercredi;2026-10-07;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩;;;;;;
🔴S-10;Jeudi;2026-10-08;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩;;;;;;
🔴S-10;*;2026-10-08;Vélo;Endurance Z2;Endurance Z2 (122 min);122;🟩;;;;;;
⚪S-09;Mardi;2026-10-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (42 min);42;🟦;;;;;;
⚪S-09;*;2026-10-13;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩;;;;;;
⚪S-09;Mercredi;2026-10-14;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩;;;;;;
⚪S-09;Jeudi;2026-10-15;Course;Compétition intermédiaire;Sprint Lyon 15/10;0;⭐;;;;;;
🟡S-08;Mardi;2026-10-20;CAP;VC;VC 2000m x 2 @ 8.7 km/h (effort 13:52 / recup 500.0m x 06:35) - 27min d'intensité;60;🟨;;;;;CAP: VC;
🟡S-08;Mercredi;2026-10-21;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩;;;;;CAP: VC;
🟡S-08;*;2026-10-21;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩;;;;;;
