Date,Name,Description,Planned Duration,Intensity,Notes
2026-08-24,CAP - VC (400m x 6),VC 400m x 6 @ 8.8 km/h (effort 02:44 / recup 100.0m x 01:33) - 16min d'intensité,40 min,Moderate,
2026-08-26,CAP - Footing de récupération Z1,Footing de récupération Z1 (85 min),85 min,Recovery,
2026-08-26,Vélo - Seuil Z4,Seuil Z4 (80 min),80 min,Moderate,
2026-08-27,Natation - Récupération active,Récupération active (94 min),94 min,Recovery,
2026-08-27,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-08-28,CAP - Footing de récupération Z1,Footing de récupération Z1 (85 min),85 min,Recovery,
2026-08-31,CAP - VC (500m x 5),VC 500m x 5 @ 8.6 km/h (effort 03:28 / recup 125.0m x 01:56) - 17min d'intensité,42 min,Moderate,
2026-09-02,CAP - Footing de récupération Z1,Footing de récupération Z1 (67 min),67 min,Recovery,
2026-09-02,Vélo - Seuil Z4,Seuil Z4 (80 min),80 min,Moderate,
2026-09-03,Natation - Récupération active,Récupération active (84 min),84 min,Recovery,
2026-09-03,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-09-04,CAP - Footing de récupération Z1,Footing de récupération Z1 (67 min),67 min,Recovery,
2026-09-07,CAP - VC (600m x 4),VC 600m x 4 @ 8.5 km/h (effort 04:15 / recup 150.0m x 02:20) - 17min d'intensité,24 min,Moderate,
2026-09-09,CAP - Footing de récupération Z1,Footing de récupération Z1 (43 min),43 min,Recovery,
2026-09-09,Vélo - Seuil Z4,Seuil Z4 (48 min),48 min,Moderate,
2026-09-10,Natation - Récupération active,Récupération active (68 min),68 min,Recovery,
2026-09-10,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-09-11,CAP - Footing de récupération Z1,Footing de récupération Z1 (43 min),43 min,Recovery,
2026-09-14,CAP - VC (700m x 3),VC 700m x 3 @ 8.3 km/h (effort 05:03 / recup 175.0m x 02:43) - 15min d'intensité,41 min,Moderate,
2026-09-16,CAP - Footing de récupération Z1,Footing de récupération Z1 (90 min),90 min,Recovery,
