Date,Name,Description,Planned Duration,Intensity,Notes
2026-08-24,CAP - VC (300m x 10),300m x 10 - effort 01:33 / récup 75.0m x 00:55,39 min,Moderate,
2026-08-25,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-08-25,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-08-26,CAP - VC (400m x 7),400m x 7 - effort 02:08 / récup 100.0m x 01:13,38 min,Moderate,
2026-08-27,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-08-28,Natation - Technique + Seuil,"Technique + seuil Z4 (90 min, 3km)",90 min,Moderate,
2026-08-29,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-08-30,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-08-31,CAP - VC (400m x 7),400m x 7 - effort 02:08 / récup 100.0m x 01:13,41 min,Moderate,
2026-09-01,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-01,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-09-02,CAP - VC (500m x 6),500m x 6 - effort 02:43 / récup 125.0m x 01:31,44 min,Moderate,
2026-09-03,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-09-04,Natation - Technique + Seuil,"Technique + seuil Z4 (90 min, 3km)",90 min,Moderate,
2026-09-05,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-06,Vélo - Endurance Z2,Endurance Z2 (112 min),112 min,Easy,
2026-09-07,CAP - VC (500m x 6),500m x 6 - effort 02:43 / récup 125.0m x 01:31,48 min,Moderate,
2026-09-08,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-08,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-09-09,CAP - VC (600m x 5),600m x 5 - effort 03:20 / récup 150.0m x 01:50,48 min,Moderate,
2026-09-10,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-09-11,Natation - Technique + Seuil,"Technique + seuil Z4 (90 min, 3km)",90 min,Moderate,
2026-09-12,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-13,Vélo - Endurance Z2,Endurance Z2 (144 min),144 min,Easy,
2026-09-14,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-09-14,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-09-15,CAP - Footing de récupération Z1,Footing de récupération Z1 (108 min),108 min,Recovery,
2026-09-16,CAP - Footing de récupération Z1,Footing de récupération Z1 (108 min),108 min,Recovery,
2026-09-17,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-09-18,Natation - Technique + Seuil,"Technique + seuil Z4 (54 min, 3km)",54 min,Moderate,
2026-09-19,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-21,CAP - VC (700m x 4),700m x 4 - effort 03:58 / récup 175.0m x 02:08,42 min,Moderate,
2026-09-22,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-22,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-09-23,CAP - VC (800m x 4),800m x 4 - effort 04:39 / récup 200.0m x 02:26,47 min,Moderate,
2026-09-24,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-09-25,Natation - Technique + Seuil,"Technique + seuil Z4 (90 min, 3km)",90 min,Moderate,
2026-09-26,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-09-27,Vélo - Endurance Z2,Endurance Z2 (109 min),109 min,Easy,
2026-09-28,CAP - VC (800m x 4),800m x 4 - effort 04:39 / récup 200.0m x 02:26,51 min,Moderate,
2026-09-29,CAP - Footing de récupération Z1,Footing de récupération Z1 (120 min),120 min,Recovery,
2026-09-29,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-09-30,CAP - VC (1000m x 3),1000m x 3 - effort 06:00 / récup 250.0m x 03:03,50 min,Moderate,
2026-10-01,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-10-02,Natation - Technique + Seuil,"Technique + seuil Z4 (90 min, 3km)",90 min,Moderate,
2026-10-03,CAP - Sortie longue Z2,Sortie longue Z2 (120 min),120 min,Easy,
2026-10-04,Vélo - Endurance Z2,Endurance Z2 (180 min),180 min,Easy,
