Date,Name,Description,Planned Duration,Intensity,Notes
2026-08-24,CAP - VMA (300m x 15),VMA 300m x 15 @ 17.3 km/h (effort 01:02 / recup 75.0m x 00:30) - 15min d'intensité,38 min,Hard,
2026-08-24,Vélo - Endurance Z2,Endurance Z2 (162 min),162 min,Easy,
2026-08-25,Natation - Technique + Seuil,"Technique + seuil Z4 (359 min, 3km)",359 min,Moderate,
2026-08-26,CAP - Footing de récupération Z1,Footing de récupération Z1 (113 min),113 min,Recovery,
2026-08-26,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-08-27,Vélo - Endurance Z2,Endurance Z2 (162 min),162 min,Easy,
2026-08-27,Natation - Récupération active,Récupération active (287 min),287 min,Recovery,
2026-08-28,CAP - Footing de récupération Z1,Footing de récupération Z1 (113 min),113 min,Recovery,
2026-08-29,CAP - Sortie longue Z2,Sortie longue Z2 (243 min),243 min,Easy,
2026-08-29,Natation - Récupération active,Récupération active (287 min),287 min,Recovery,
2026-08-31,CAP - VC (500m x 9),VC 500m x 9 @ 16.4 km/h (effort 01:49 / recup 125.0m x 00:59) - 16min d'intensité,40 min,Moderate,
2026-08-31,Vélo - Endurance Z2,Endurance Z2 (136 min),136 min,Easy,
2026-09-01,Natation - Technique + Seuil,"Technique + seuil Z4 (321 min, 3km)",321 min,Moderate,
2026-09-02,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-09-02,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-09-03,Vélo - Endurance Z2,Endurance Z2 (136 min),136 min,Easy,
2026-09-03,Natation - Récupération active,Récupération active (256 min),256 min,Recovery,
2026-09-04,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-09-05,CAP - Sortie longue Z2,Sortie longue Z2 (195 min),195 min,Easy,
2026-09-05,Natation - Récupération active,Récupération active (256 min),256 min,Recovery,
